state,id,from,to,exclude
Essential Energy,CNRGYP,NAAA000000,NAAAZZZZZZ,NAAAW
Essential Energy,CNRGYP,NBBB000000,NBBBZZZZZZ,NBBBW
Ausgrid,ENERGYAP,NCCC000000,NCCCZZZZZZ,NCCCW
Essential Energy,CNRGYP,NDDD000000,NDDDZZZZZZ,NDDDW
Endeavour Energy,INTEGP,NEEE000000,NEEEZZZZZZ,NEEEW
"Essential Energy (formerly Country Energy, NorthPower)",CNRGYP,NFFF000000,NFFFZZZZZZ,NFFFW
TransGrid,TRANSGP,NTTTW00000,NTTTWZZZZZ,
Ergon Energy Corporation,ERGONETP,QAAA000000,QAAAZZZZZZ,QAAAW
ENERGEX Limited,ENERGEXP,QB00000000,QB99ZZZZZZ,QBZZW
Ergon Energy Corporation (formerly NORQEB),ERGONETP,QCCC000000,QCCCZZZZZZ,QCCCW
Ergon Energy Corporation,ERGONETP,QDDD000000,QDDDZZZZZZ,QDDDW
Ergon Energy Corporation,ERGONETP,QEEE000000,QEEEZZZZZZ,QEEEW
Ergon Energy Corporation,ERGONETP,QFFF000000,QFFFZZZZZZ,QFFFW
Ergon Energy Corporation,ERGONETP,QGGG000000,QGGGZZZZZZ,QGGGW
Powerlink,PLINKP,QtniW00001,QtniWZZZZ,
SA Power Networks,UMPLP,SAAA000000,SAAAZZZZZZ,SAAAW
SA Power Networks - sample meters,UMPLP,SASMPL0000,SASMPL9999,
ElectraNet SA,ETSATP,StniW00000,StniWZZZZZ,
TasNetworks DNSP (formerly Aurora Energy),,T000000001,T000005001,
 Transend Networks,TRANSEND,TtniW00001,TtniWZZZZZ,
CitiPower Pty,CITIPP,VAAA000000,VAAAZZZZZZ,VAAAW
Ausnet Services DNSP,EASTERN,VBBB000000,VBBBZZZZZZ,VBBBW
Powercor Australia,POWCP,VCCC000000,VCCCZZZZZZ,VCCCW
Jemena Electricity Networks (Vic) Ltd,SOLARISP,VDDD000000,VDDDZZZZZZ,VDDDW
United Energy Distribution Pty Ltd,UNITED,VEEE000001,VEEEZZZZZZ,VEEEW
SP-Ausnet,GPUPP,VtniW00001,VtniWZZZZZ,
Western Power,WA,WAAA000000,WAAAZZZZZZ,
Federal Airports Coporation,MISC,NJJJNR0000,NJJJNRZZZZ,
Exempt & Miscellaneous Networks - various,MISC,NKKKNR0000,NKKKNRZZZZ,
